datetime,curah_hujan
2018-01,215.1
2018-02,431.2
2018-03,188.6
2018-04,159.1
2018-05,16.7
2018-06,12.6
2018-07,14.5
2018-08,33.0
2018-09,62.0
2018-10,133.8
2018-11,140.9
2018-12,52.3
2019-01,383.9
2019-02,270.1
2019-03,327.3
2019-04,194.6
2019-05,47.8
2019-06,23.1
2019-07,0.0
2019-08,0.0
2019-09,1.0
2019-10,1.0
2019-11,50.1
2019-12,263.8
2020-01,618.0
2020-02,1043.2
2020-03,220.7
2020-04,182.8
2020-05,50.4
2020-06,21.1
2020-07,12.1
2020-08,101.0
2020-09,151.9
2020-10,208.3
2020-11,87.3
2020-12,134.7
2021-01,332.8
2021-02,604.4
2021-03,244.1
2021-04,213.9
2021-05,203.6
2021-06,79.1
2021-07,35.8
2021-08,79.7
2021-09,113.4
2021-10,182.1
2021-11,134.1
2021-12,171.6
2022-01,469.5
2022-02,669.3
2022-03,326.7
2022-04,269.0
2022-05,161.3
2022-06,115.5
2022-07,97.4
2022-08,135.2
2022-09,164.0
2022-10,213.2
2022-11,185.2
2022-12,237.8
