DATE,RSXFS
2015-01-01,385289
2015-02-01,384685
2015-03-01,390850
2015-04-01,391130
2015-05-01,394366
2015-06-01,394743
2015-07-01,398028
2015-08-01,397782
2015-09-01,395641
2015-10-01,394266
2015-11-01,395960
2015-12-01,396826
2016-01-01,394486
2016-02-01,397676
2016-03-01,396630
2016-04-01,398199
2016-05-01,399711
2016-06-01,404475
2016-07-01,403827
2016-08-01,403731
2016-09-01,406064
2016-10-01,407120
2016-11-01,405929
2016-12-01,412576
2017-01-01,415749
2017-02-01,415552
2017-03-01,414836
2017-04-01,416541
2017-05-01,414102
2017-06-01,416293
2017-07-01,416373
2017-08-01,416888
2017-09-01,426198
2017-10-01,426725
2017-11-01,430931
2017-12-01,433537
2018-01-01,431045
2018-02-01,433754
2018-03-01,432891
2018-04-01,434832
2018-05-01,439781
2018-06-01,437530
2018-07-01,440111
2018-08-01,439439
2018-09-01,438709
2018-10-01,443560
2018-11-01,445484
2018-12-01,435285
2019-01-01,438377
2019-02-01,438830
2019-03-01,446084
2019-04-01,445957
2019-05-01,448869
2019-06-01,448856
2019-07-01,452442
2019-08-01,455725
2019-09-01,451994
2019-10-01,453140
2019-11-01,456656
2019-12-01,457669
2020-01-01,456334
2020-02-01,456676
2020-03-01,429854
2020-04-01,376992
2020-05-01,444746
2020-06-01,474621
2020-07-01,480461
2020-08-01,483280
2020-09-01,492411
2020-10-01,490482
2020-11-01,487824
2020-12-01,496423
2021-01-01,510740
2021-02-01,497758
2021-03-01,550349
2021-04-01,552575
2021-05-01,545282
2021-06-01,548414
2021-07-01,537466
2021-08-01,542966
2021-09-01,547197
2021-10-01,557190
2021-11-01,563358
2021-12-01,560896
2022-01-01,572415
2022-02-01,577933
2022-03-01,589238
2022-04-01,595371.0
2022-05-01,593733.0
2022-06-01,598405.0
2022-07-01,594264.0
2022-08-01,597069.0
2022-09-01,596156
2022-10-01,601983
2022-11-01,593090
2022-12-01,588540
