DATE,SPTNSAWE
2014-01-01,87700.0
2014-02-01,79600.0
2014-03-01,84400.0
2014-04-01,77100.0
2014-05-01,77400.0
2014-06-01,82300.0
2014-07-01,79300.0
2014-08-01,75400.0
2014-09-01,80200.0
2014-10-01,77100.0
2014-11-01,84800.0
2014-12-01,86900.0
2015-01-01,102500.0
2015-02-01,90200.0
2015-03-01,79300.0
2015-04-01,89600.0
2015-05-01,83400.0
2015-06-01,93700.0
2015-07-01,88200.0
2015-08-01,89200.0
2015-09-01,90100.0
2015-10-01,78900.0
2015-11-01,96100.0
2015-12-01,84400.0
2016-01-01,86900.0
2016-02-01,84800.0
2016-03-01,83200.0
2016-04-01,85400.0
2016-05-01,83500.0
2016-06-01,89000.0
2016-07-01,96800.0
2016-08-01,95000.0
2016-09-01,93900.0
2016-10-01,85100.0
2016-11-01,89200.0
2016-12-01,85900.0
2017-01-01,93600.0
2017-02-01,104200.0
2017-03-01,89800.0
2017-04-01,93000.0
2017-05-01,94900.0
2017-06-01,106300.0
2017-07-01,99700.0
2017-08-01,91600.0
2017-09-01,95600.0
2017-10-01,95200.0
2017-11-01,114500.0
2017-12-01,96400.0
2018-01-01,98900.0
2018-02-01,87100.0
2018-03-01,82900.0
2018-04-01,103100.0
2018-05-01,104000.0
2018-06-01,105000.0
2018-07-01,102800.0
2018-08-01,97400.0
2018-09-01,102600.0
2018-10-01,105100.0
2018-11-01,99300.0
2018-12-01,101400.0
2019-01-01,95800.0
2019-02-01,103100.0
2019-03-01,92900.0
2019-04-01,95400.0
2019-05-01,96300.0
2019-06-01,100600.0
2019-07-01,108400.0
2019-08-01,107500.0
2019-09-01,99500.0
2019-10-01,96600.0
2019-11-01,101400.0
2019-12-01,97700.0
2020-01-01,103400.0
2020-02-01,103500.0
2020-03-01,92600.0
2020-04-01,111800.0
2020-05-01,105100.0
2020-06-01,102700.0
2020-07-01,103700.0
2020-08-01,104900.0
2020-09-01,110100.0
2020-10-01,108900
2020-11-01,115400
2020-12-01,108800
2021-01-01,113400
2021-02-01,116900
2021-03-01,113000
2021-04-01,118400
2021-05-01,104400
2021-06-01,116400
2021-07-01,131100
2021-08-01,135000
2021-09-01,132100
2021-10-01,131600
2021-11-01,128800
2021-12-01,145200
2022-01-01,140800
2022-02-01,150100
2022-03-01,156100
2022-04-01,155400
2022-05-01,142000
2022-06-01,154200
2022-07-01,156800
2022-08-01,144100
2022-09-01,148600
2022-10-01,153600
2022-11-01,138400
2022-12-01,134700
2023-01-01,131500
2023-02-01,144000
2023-03-01,140800.0
2023-04-01,150600.0
2023-05-01,149700.0
