DATE,TOTALSA
2015-01-01,16.91
2015-02-01,16.891
2015-03-01,17.896
2015-04-01,17.693
2015-05-01,17.929
2015-06-01,17.889
2015-07-01,18.318
2015-08-01,18.391
2015-09-01,18.281
2015-10-01,18.27
2015-11-01,18.314
2015-12-01,17.503
2016-01-01,18.054
2016-02-01,18.096
2016-03-01,17.291
2016-04-01,17.669
2016-05-01,17.695
2016-06-01,17.735
2016-07-01,18.109
2016-08-01,17.927
2016-09-01,17.956
2016-10-01,17.954
2016-11-01,17.792
2016-12-01,18.277
2017-01-01,17.652
2017-02-01,17.699
2017-03-01,17.061
2017-04-01,17.166
2017-05-01,17.081
2017-06-01,17.13
2017-07-01,17.237
2017-08-01,17.051
2017-09-01,18.313
2017-10-01,18.482
2017-11-01,18.003
2017-12-01,17.887
2018-01-01,17.176
2018-02-01,17.447
2018-03-01,17.662
2018-04-01,17.584
2018-05-01,17.829
2018-06-01,17.743
2018-07-01,17.629
2018-08-01,17.564
2018-09-01,17.776
2018-10-01,17.991
2018-11-01,18.061
2018-12-01,18.077
2019-01-01,16.91
2019-02-01,16.945
2019-03-01,17.732
2019-04-01,16.868
2019-05-01,18.027
2019-06-01,17.815
2019-07-01,17.731
2019-08-01,17.859
2019-09-01,17.746
2019-10-01,17.087
2019-11-01,17.594
2019-12-01,17.551
2020-01-01,16.841
2020-02-01,17.026
2020-03-01,11.736
2020-04-01,8.834
2020-05-01,12.549
2020-06-01,13.545
2020-07-01,15.279
2020-08-01,15.868
2020-09-01,16.77
2020-10-01,16.663
2020-11-01,16.405
2020-12-01,17.052
2021-01-01,16.629
2021-02-01,16.076
2021-03-01,18.287
2021-04-01,18.502
2021-05-01,17.567
2021-06-01,15.996
2021-07-01,15.306
2021-08-01,13.749
2021-09-01,12.747
2021-10-01,13.25
2021-11-01,13.553
2021-12-01,13.244
2022-01-01,14.798
2022-02-01,14.109
2022-03-01,14.049
2022-04-01,14.486
2022-05-01,13.4
2022-06-01,13.748
2022-07-01,13.965
2022-08-01,14.01
2022-09-01,14.191
2022-10-01,15.157
2022-11-01,14.785
2022-12-01,14.048
