datetime,curah_hujan
01-01-2009,0.90
02-01-2009,0.00
03-01-2009,0.00
04-01-2009,0.00
05-01-2009,0.00
06-01-2009,5.70
07-01-2009,6.80
08-01-2009,5.30
09-01-2009,1.60
10-01-2009,5.60
11-01-2009,25.50
12-01-2009,85.10
13-01-2009,102.00
14-01-2009,39.80
15-01-2009,7.60
16-01-2009,0.60
17-01-2009,0.00
18-01-2009,122.50
19-01-2009,0.60
20-01-2009,0.00
21-01-2009,5.00
22-01-2009,0.00
23-01-2009,7.50
24-01-2009,15.00
25-01-2009,2.00
26-01-2009,25.70
27-01-2009,45.70
28-01-2009,0.00
29-01-2009,3.00
30-01-2009,28.10
31-01-2009,13.80
01-02-2009,26.70
02-02-2009,13.50
03-02-2009,38.30
04-02-2009,4.80
05-02-2009,16.00
06-02-2009,6.10
07-02-2009,11.40
08-02-2009,18.70
09-02-2009,11.00
10-02-2009,2.30
11-02-2009,4.30
12-02-2009,0.50
13-02-2009,0.00
14-02-2009,0.00
15-02-2009,4.80
16-02-2009,0.00
17-02-2009,8.70
18-02-2009,4.00
19-02-2009,0.60
20-02-2009,2.80
21-02-2009,0.00
22-02-2009,7.30
23-02-2009,17.00
24-02-2009,0.00
25-02-2009,0.00
26-02-2009,0.00
27-02-2009,17.00
28-02-2009,16.10
01-03-2009,8.05
02-03-2009,0.00
03-03-2009,9.60
04-03-2009,2.30
05-03-2009,46.30
06-03-2009,0.00
07-03-2009,0.00
08-03-2009,0.00
09-03-2009,68.10
10-03-2009,1.40
11-03-2009,0.00
12-03-2009,0.00
13-03-2009,0.40
14-03-2009,0.00
15-03-2009,0.00
16-03-2009,0.00
17-03-2009,0.00
18-03-2009,0.00
19-03-2009,0.00
20-03-2009,0.00
21-03-2009,3.00
22-03-2009,0.00
23-03-2009,7.50
24-03-2009,0.00
25-03-2009,0.00
26-03-2009,0.00
27-03-2009,0.00
28-03-2009,2.30
29-03-2009,0.00
30-03-2009,0.00
31-03-2009,0.50
01-04-2009,0.00
02-04-2009,0.00
03-04-2009,0.00
04-04-2009,9.40
05-04-2009,0.00
06-04-2009,2.40
07-04-2009,3.80
08-04-2009,2.85
09-04-2009,1.90
10-04-2009,0.95
11-04-2009,0.00
12-04-2009,2.40
13-04-2009,2.00
14-04-2009,0.00
15-04-2009,0.00
16-04-2009,0.00
17-04-2009,0.00
18-04-2009,0.00
19-04-2009,0.00
20-04-2009,0.00
21-04-2009,56.00
22-04-2009,0.00
23-04-2009,0.00
24-04-2009,0.00
25-04-2009,0.00
26-04-2009,0.00
27-04-2009,10.00
28-04-2009,0.00
29-04-2009,0.00
30-04-2009,6.70
01-05-2009,0.00
02-05-2009,0.00
03-05-2009,1.20
04-05-2009,0.00
05-05-2009,71.90
06-05-2009,0.10
07-05-2009,0.00
08-05-2009,1.90
09-05-2009,1.50
10-05-2009,1.40
11-05-2009,101.50
12-05-2009,0.00
13-05-2009,3.30
14-05-2009,5.60
15-05-2009,2.80
16-05-2009,0.00
17-05-2009,3.60
18-05-2009,7.20
19-05-2009,0.00
20-05-2009,20.60
21-05-2009,4.50
22-05-2009,2.25
23-05-2009,0.00
24-05-2009,0.00
25-05-2009,0.00
26-05-2009,2.70
27-05-2009,0.00
28-05-2009,0.00
29-05-2009,0.00
30-05-2009,0.00
31-05-2009,0.00
01-06-2009,0.00
02-06-2009,0.00
03-06-2009,0.00
04-06-2009,0.00
05-06-2009,0.00
06-06-2009,0.00
07-06-2009,0.00
08-06-2009,32.00
09-06-2009,0.00
10-06-2009,4.30
11-06-2009,0.00
12-06-2009,0.00
13-06-2009,0.00
14-06-2009,0.00
15-06-2009,0.00
16-06-2009,28.50
17-06-2009,0.00
18-06-2009,0.00
19-06-2009,0.00
20-06-2009,0.00
21-06-2009,0.00
22-06-2009,0.00
23-06-2009,0.00
24-06-2009,0.00
25-06-2009,0.00
26-06-2009,0.00
27-06-2009,0.00
28-06-2009,0.00
29-06-2009,9.60
30-06-2009,0.00
01-07-2009,0.00
02-07-2009,0.00
03-07-2009,0.00
04-07-2009,0.00
05-07-2009,0.00
06-07-2009,0.00
07-07-2009,0.00
08-07-2009,0.00
09-07-2009,0.00
10-07-2009,0.00
11-07-2009,0.00
12-07-2009,0.00
13-07-2009,0.00
14-07-2009,0.00
15-07-2009,0.00
16-07-2009,1.60
17-07-2009,3.20
18-07-2009,0.00
19-07-2009,0.00
20-07-2009,0.00
21-07-2009,0.00
22-07-2009,0.00
23-07-2009,0.20
24-07-2009,0.00
25-07-2009,7.00
26-07-2009,0.00
27-07-2009,0.00
28-07-2009,0.00
29-07-2009,0.00
30-07-2009,0.00
31-07-2009,0.00
01-08-2009,0.00
02-08-2009,0.00
03-08-2009,0.00
04-08-2009,0.00
05-08-2009,0.00
06-08-2009,0.00
07-08-2009,0.00
08-08-2009,0.00
09-08-2009,0.00
10-08-2009,0.00
11-08-2009,0.00
12-08-2009,0.00
13-08-2009,0.00
14-08-2009,0.00
15-08-2009,0.00
16-08-2009,0.00
17-08-2009,4.50
18-08-2009,0.00
19-08-2009,0.00
20-08-2009,0.00
21-08-2009,0.00
22-08-2009,0.00
23-08-2009,0.00
24-08-2009,0.00
25-08-2009,0.00
26-08-2009,0.00
27-08-2009,2.00
28-08-2009,0.00
29-08-2009,0.00
30-08-2009,0.00
31-08-2009,0.00
01-09-2009,76.50
02-09-2009,0.00
03-09-2009,0.00
04-09-2009,0.00
05-09-2009,0.00
06-09-2009,0.00
07-09-2009,0.00
08-09-2009,0.00
09-09-2009,0.00
10-09-2009,0.00
11-09-2009,0.00
12-09-2009,0.00
13-09-2009,0.00
14-09-2009,0.00
15-09-2009,0.00
16-09-2009,1.40
17-09-2009,0.00
18-09-2009,0.00
19-09-2009,0.00
20-09-2009,0.00
21-09-2009,0.00
22-09-2009,0.00
23-09-2009,0.00
24-09-2009,10.40
25-09-2009,0.00
26-09-2009,0.00
27-09-2009,0.00
28-09-2009,0.00
29-09-2009,0.00
30-09-2009,0.00
01-10-2009,0.00
02-10-2009,0.00
03-10-2009,0.00
04-10-2009,0.00
05-10-2009,12.40
06-10-2009,1.00
07-10-2009,2.60
08-10-2009,0.00
09-10-2009,0.00
10-10-2009,0.00
11-10-2009,0.00
12-10-2009,0.00
13-10-2009,0.00
14-10-2009,0.00
15-10-2009,0.00
16-10-2009,0.00
17-10-2009,47.00
18-10-2009,0.00
19-10-2009,0.00
20-10-2009,0.00
21-10-2009,0.00
22-10-2009,0.00
23-10-2009,0.00
24-10-2009,0.30
25-10-2009,0.00
26-10-2009,0.00
27-10-2009,0.00
28-10-2009,0.00
29-10-2009,0.00
30-10-2009,0.00
31-10-2009,0.00
01-11-2009,0.00
02-11-2009,0.00
03-11-2009,0.00
04-11-2009,0.00
05-11-2009,0.00
06-11-2009,3.80
07-11-2009,0.00
08-11-2009,0.00
09-11-2009,0.00
10-11-2009,28.80
11-11-2009,10.00
12-11-2009,112.00
13-11-2009,55.10
14-11-2009,0.00
15-11-2009,0.00
16-11-2009,15.30
17-11-2009,2.50
18-11-2009,1.00
19-11-2009,19.60
20-11-2009,0.00
21-11-2009,1.20
22-11-2009,0.00
23-11-2009,0.00
24-11-2009,2.10
25-11-2009,28.00
26-11-2009,2.60
27-11-2009,0.00
28-11-2009,0.50
29-11-2009,17.80
30-11-2009,3.40
01-12-2009,0.00
02-12-2009,0.00
03-12-2009,0.00
04-12-2009,2.50
05-12-2009,2.80
06-12-2009,40.00
07-12-2009,1.00
08-12-2009,0.00
09-12-2009,0.00
10-12-2009,0.00
11-12-2009,0.00
12-12-2009,0.40
13-12-2009,0.00
14-12-2009,1.20
15-12-2009,0.00
16-12-2009,0.00
17-12-2009,0.00
18-12-2009,9.80
19-12-2009,0.00
20-12-2009,0.00
21-12-2009,2.70
22-12-2009,59.20
23-12-2009,0.00
24-12-2009,17.00
25-12-2009,5.90
26-12-2009,0.60
27-12-2009,30.70
28-12-2009,14.80
29-12-2009,0.10
30-12-2009,0.40
31-12-2009,0.00
01-01-2010,0.00
02-01-2010,6.60
03-01-2010,0.00
04-01-2010,0.00
05-01-2010,0.40
06-01-2010,0.00
07-01-2010,12.70
08-01-2010,0.50
09-01-2010,28.00
10-01-2010,0.00
11-01-2010,19.60
12-01-2010,0.90
13-01-2010,6.00
14-01-2010,20.30
15-01-2010,11.60
16-01-2010,49.80
17-01-2010,22.30
18-01-2010,73.90
19-01-2010,7.30
20-01-2010,3.40
21-01-2010,25.30
22-01-2010,17.25
23-01-2010,9.20
24-01-2010,0.00
25-01-2010,19.90
26-01-2010,5.80
27-01-2010,0.00
28-01-2010,0.00
29-01-2010,3.00
30-01-2010,13.10
31-01-2010,37.40
01-02-2010,9.30
02-02-2010,0.00
03-02-2010,11.80
04-02-2010,1.30
05-02-2010,2.80
06-02-2010,0.20
07-02-2010,2.70
08-02-2010,0.00
09-02-2010,0.00
10-02-2010,0.00
11-02-2010,0.00
12-02-2010,37.10
13-02-2010,40.40
14-02-2010,1.40
15-02-2010,0.00
16-02-2010,4.00
17-02-2010,3.00
18-02-2010,68.00
19-02-2010,2.80
20-02-2010,1.90
21-02-2010,8.80
22-02-2010,1.20
23-02-2010,0.00
24-02-2010,15.60
25-02-2010,0.20
26-02-2010,0.00
27-02-2010,0.00
28-02-2010,10.80
01-03-2010,46.80
02-03-2010,0.00
03-03-2010,0.00
04-03-2010,0.00
05-03-2010,32.20
06-03-2010,0.00
07-03-2010,0.00
08-03-2010,0.00
09-03-2010,0.00
10-03-2010,2.70
11-03-2010,8.80
12-03-2010,2.60
13-03-2010,0.00
14-03-2010,0.00
15-03-2010,0.85
16-03-2010,1.70
17-03-2010,11.20
18-03-2010,0.00
19-03-2010,0.00
20-03-2010,0.00
21-03-2010,0.00
22-03-2010,0.00
23-03-2010,0.00
24-03-2010,0.00
25-03-2010,85.70
26-03-2010,0.00
27-03-2010,1.10
28-03-2010,14.70
29-03-2010,8.90
30-03-2010,26.10
31-03-2010,0.00
01-04-2010,0.00
02-04-2010,20.70
03-04-2010,0.00
04-04-2010,0.40
05-04-2010,1.80
06-04-2010,0.00
07-04-2010,2.80
08-04-2010,0.60
09-04-2010,0.00
10-04-2010,0.00
11-04-2010,0.00
12-04-2010,0.00
13-04-2010,0.00
14-04-2010,0.20
15-04-2010,0.00
16-04-2010,0.20
17-04-2010,0.00
18-04-2010,0.00
19-04-2010,0.00
20-04-2010,0.00
21-04-2010,0.00
22-04-2010,0.00
23-04-2010,0.00
24-04-2010,0.00
25-04-2010,0.00
26-04-2010,0.00
27-04-2010,0.00
28-04-2010,0.00
29-04-2010,0.00
30-04-2010,0.00
01-05-2010,0.00
02-05-2010,0.00
03-05-2010,0.00
04-05-2010,0.00
05-05-2010,0.00
06-05-2010,0.00
07-05-2010,0.30
08-05-2010,1.80
09-05-2010,0.00
10-05-2010,10.70
11-05-2010,4.00
12-05-2010,0.00
13-05-2010,12.50
14-05-2010,0.80
15-05-2010,0.00
16-05-2010,7.60
17-05-2010,3.80
18-05-2010,0.00
19-05-2010,0.70
20-05-2010,2.20
21-05-2010,0.00
22-05-2010,20.60
23-05-2010,3.40
24-05-2010,1.00
25-05-2010,21.00
26-05-2010,0.90
27-05-2010,0.00
28-05-2010,0.00
29-05-2010,0.00
30-05-2010,0.00
31-05-2010,0.20
01-06-2010,43.80
02-06-2010,0.00
03-06-2010,0.00
04-06-2010,26.00
05-06-2010,16.90
06-06-2010,13.35
07-06-2010,9.80
08-06-2010,0.60
09-06-2010,0.00
10-06-2010,0.00
11-06-2010,0.00
12-06-2010,2.00
13-06-2010,0.00
14-06-2010,3.10
15-06-2010,6.20
16-06-2010,9.30
17-06-2010,9.15
18-06-2010,9.00
19-06-2010,0.40
20-06-2010,0.40
21-06-2010,0.00
22-06-2010,0.00
23-06-2010,5.40
24-06-2010,7.00
25-06-2010,0.30
26-06-2010,0.50
27-06-2010,0.00
28-06-2010,0.00
29-06-2010,2.40
30-06-2010,0.00
01-07-2010,0.00
02-07-2010,0.00
03-07-2010,20.40
04-07-2010,0.00
05-07-2010,0.00
06-07-2010,0.00
07-07-2010,34.00
08-07-2010,28.70
09-07-2010,46.60
10-07-2010,0.00
11-07-2010,0.00
12-07-2010,3.00
13-07-2010,1.20
14-07-2010,1.40
15-07-2010,1.60
16-07-2010,4.20
17-07-2010,0.00
18-07-2010,73.00
19-07-2010,13.20
20-07-2010,3.40
21-07-2010,0.00
22-07-2010,0.00
23-07-2010,0.00
24-07-2010,0.00
25-07-2010,1.60
26-07-2010,2.50
27-07-2010,15.50
28-07-2010,0.70
29-07-2010,0.00
30-07-2010,0.00
31-07-2010,0.00
01-08-2010,0.00
02-08-2010,2.03
03-08-2010,4.07
04-08-2010,6.10
05-08-2010,12.90
06-08-2010,23.50
07-08-2010,3.50
08-08-2010,0.00
09-08-2010,0.00
10-08-2010,0.00
11-08-2010,0.00
12-08-2010,0.00
13-08-2010,0.30
14-08-2010,0.00
15-08-2010,4.00
16-08-2010,55.50
17-08-2010,0.00
18-08-2010,4.00
19-08-2010,0.00
20-08-2010,17.80
21-08-2010,13.00
22-08-2010,0.00
23-08-2010,0.00
24-08-2010,10.00
25-08-2010,0.00
26-08-2010,0.00
27-08-2010,0.00
28-08-2010,0.00
29-08-2010,0.00
30-08-2010,0.00
31-08-2010,0.00
01-09-2010,0.00
02-09-2010,22.70
03-09-2010,35.20
04-09-2010,0.00
05-09-2010,28.95
06-09-2010,57.90
07-09-2010,39.40
08-09-2010,20.90
09-09-2010,25.30
10-09-2010,0.00
11-09-2010,1.00
12-09-2010,10.40
13-09-2010,0.40
14-09-2010,3.80
15-09-2010,3.80
16-09-2010,0.20
17-09-2010,0.10
18-09-2010,0.00
19-09-2010,0.00
20-09-2010,0.00
21-09-2010,30.00
22-09-2010,0.30
23-09-2010,37.20
24-09-2010,0.00
25-09-2010,2.80
26-09-2010,3.50
27-09-2010,4.20
28-09-2010,0.00
29-09-2010,0.00
30-09-2010,0.00
01-10-2010,0.25
02-10-2010,0.50
03-10-2010,47.80
04-10-2010,0.30
05-10-2010,0.50
06-10-2010,66.00
07-10-2010,0.00
08-10-2010,4.50
09-10-2010,9.50
10-10-2010,0.00
11-10-2010,0.00
12-10-2010,4.70
13-10-2010,6.20
14-10-2010,55.40
15-10-2010,0.00
16-10-2010,0.00
17-10-2010,9.00
18-10-2010,0.00
19-10-2010,0.00
20-10-2010,5.60
21-10-2010,8.00
22-10-2010,49.80
23-10-2010,24.90
24-10-2010,0.00
25-10-2010,93.00
26-10-2010,19.50
27-10-2010,0.00
28-10-2010,0.00
29-10-2010,0.60
30-10-2010,0.00
31-10-2010,0.00
01-11-2010,0.00
02-11-2010,0.40
03-11-2010,0.80
04-11-2010,5.80
05-11-2010,0.00
06-11-2010,0.00
07-11-2010,0.00
08-11-2010,0.00
09-11-2010,24.10
10-11-2010,0.00
11-11-2010,3.50
12-11-2010,10.50
13-11-2010,1.40
14-11-2010,0.00
15-11-2010,0.00
16-11-2010,31.40
17-11-2010,0.00
18-11-2010,0.00
19-11-2010,0.00
20-11-2010,0.00
21-11-2010,0.25
22-11-2010,0.50
23-11-2010,7.00
24-11-2010,9.20
25-11-2010,1.00
26-11-2010,39.90
27-11-2010,5.10
28-11-2010,0.00
29-11-2010,2.60
30-11-2010,0.00
01-12-2010,26.10
02-12-2010,52.20
03-12-2010,2.00
04-12-2010,0.60
05-12-2010,3.00
06-12-2010,6.40
07-12-2010,0.00
08-12-2010,1.30
09-12-2010,1.30
10-12-2010,1.60
11-12-2010,5.50
12-12-2010,2.40
13-12-2010,0.00
14-12-2010,6.80
15-12-2010,3.40
16-12-2010,0.00
17-12-2010,10.00
18-12-2010,1.60
19-12-2010,7.90
20-12-2010,0.00
21-12-2010,1.50
22-12-2010,0.00
23-12-2010,1.40
24-12-2010,0.00
25-12-2010,0.00
26-12-2010,2.90
27-12-2010,3.60
28-12-2010,11.80
29-12-2010,0.20
30-12-2010,0.00
31-12-2010,0.00
01-01-2011,0.00
02-01-2011,6.70
03-01-2011,2.50
04-01-2011,1.20
05-01-2011,37.00
06-01-2011,3.40
07-01-2011,1.00
08-01-2011,7.90
09-01-2011,15.00
10-01-2011,7.40
11-01-2011,4.00
12-01-2011,0.60
13-01-2011,0.00
14-01-2011,3.80
15-01-2011,7.60
16-01-2011,3.10
17-01-2011,3.80
18-01-2011,6.90
19-01-2011,0.20
20-01-2011,1.50
21-01-2011,16.80
22-01-2011,13.60
23-01-2011,6.80
24-01-2011,0.00
25-01-2011,0.00
26-01-2011,0.00
27-01-2011,1.55
28-01-2011,3.10
29-01-2011,2.30
30-01-2011,0.00
31-01-2011,0.60
01-02-2011,1.20
02-02-2011,3.80
03-02-2011,3.00
04-02-2011,11.60
05-02-2011,12.80
06-02-2011,4.80
07-02-2011,0.00
08-02-2011,4.20
09-02-2011,0.00
10-02-2011,0.00
11-02-2011,2.40
12-02-2011,0.00
13-02-2011,3.50
14-02-2011,119.20
15-02-2011,0.00
16-02-2011,9.70
17-02-2011,0.00
18-02-2011,1.00
19-02-2011,4.00
20-02-2011,2.00
21-02-2011,0.00
22-02-2011,0.00
23-02-2011,0.00
24-02-2011,0.00
25-02-2011,2.70
26-02-2011,10.90
27-02-2011,30.40
28-02-2011,3.50
01-03-2011,0.70
02-03-2011,0.00
03-03-2011,4.60
04-03-2011,0.50
05-03-2011,6.60
06-03-2011,0.20
07-03-2011,0.00
08-03-2011,0.00
09-03-2011,1.60
10-03-2011,0.00
11-03-2011,1.70
12-03-2011,0.00
13-03-2011,49.00
14-03-2011,41.35
15-03-2011,33.70
16-03-2011,22.50
17-03-2011,0.00
18-03-2011,3.20
19-03-2011,9.70
20-03-2011,6.60
21-03-2011,0.00
22-03-2011,0.00
23-03-2011,0.00
24-03-2011,4.40
25-03-2011,0.00
26-03-2011,0.00
27-03-2011,0.00
28-03-2011,0.00
29-03-2011,0.80
30-03-2011,1.80
31-03-2011,0.10
01-04-2011,0.60
02-04-2011,0.00
03-04-2011,8.00
04-04-2011,0.00
05-04-2011,0.00
06-04-2011,0.00
07-04-2011,0.00
08-04-2011,0.10
09-04-2011,0.00
10-04-2011,0.00
11-04-2011,3.40
12-04-2011,0.10
13-04-2011,0.40
14-04-2011,0.70
15-04-2011,2.40
16-04-2011,12.40
17-04-2011,32.50
18-04-2011,30.80
19-04-2011,0.00
20-04-2011,1.20
21-04-2011,0.00
22-04-2011,4.00
23-04-2011,0.00
24-04-2011,0.00
25-04-2011,0.00
26-04-2011,0.00
27-04-2011,0.00
28-04-2011,0.00
29-04-2011,0.00
30-04-2011,10.60
01-05-2011,0.00
02-05-2011,0.00
03-05-2011,0.00
04-05-2011,0.00
05-05-2011,18.20
06-05-2011,19.00
07-05-2011,4.80
08-05-2011,0.40
09-05-2011,0.00
10-05-2011,0.00
11-05-2011,0.00
12-05-2011,31.40
13-05-2011,62.80
14-05-2011,0.20
15-05-2011,0.00
16-05-2011,0.00
17-05-2011,0.00
18-05-2011,13.20
19-05-2011,0.00
20-05-2011,0.00
21-05-2011,0.00
22-05-2011,43.20
23-05-2011,5.80
24-05-2011,18.50
25-05-2011,12.80
26-05-2011,0.00
27-05-2011,0.00
28-05-2011,0.00
29-05-2011,0.00
30-05-2011,0.00
31-05-2011,0.00
01-06-2011,0.00
02-06-2011,0.00
03-06-2011,0.00
04-06-2011,0.20
05-06-2011,30.60
06-06-2011,0.00
07-06-2011,10.00
08-06-2011,2.20
09-06-2011,0.00
10-06-2011,0.00
11-06-2011,0.00
12-06-2011,0.00
13-06-2011,0.00
14-06-2011,2.60
15-06-2011,0.00
16-06-2011,0.00
17-06-2011,0.00
18-06-2011,0.00
19-06-2011,0.00
20-06-2011,0.00
21-06-2011,0.00
22-06-2011,0.00
23-06-2011,0.00
24-06-2011,0.00
25-06-2011,0.00
26-06-2011,0.00
27-06-2011,13.00
28-06-2011,0.20
29-06-2011,5.95
30-06-2011,11.70
01-07-2011,0.00
02-07-2011,0.00
03-07-2011,0.00
04-07-2011,0.00
05-07-2011,2.50
06-07-2011,0.00
07-07-2011,0.00
08-07-2011,0.00
09-07-2011,0.00
10-07-2011,7.40
11-07-2011,0.00
12-07-2011,0.00
13-07-2011,0.00
14-07-2011,0.00
15-07-2011,0.00
16-07-2011,5.00
17-07-2011,0.00
18-07-2011,0.00
19-07-2011,0.00
20-07-2011,0.00
21-07-2011,0.00
22-07-2011,0.00
23-07-2011,0.70
24-07-2011,2.50
25-07-2011,0.00
26-07-2011,0.00
27-07-2011,0.00
28-07-2011,0.00
29-07-2011,0.00
30-07-2011,0.00
31-07-2011,0.00
01-08-2011,0.00
02-08-2011,0.00
03-08-2011,0.00
04-08-2011,1.50
05-08-2011,0.00
06-08-2011,0.00
07-08-2011,0.00
08-08-2011,0.00
09-08-2011,0.00
10-08-2011,0.00
11-08-2011,0.00
12-08-2011,0.00
13-08-2011,0.00
14-08-2011,0.00
15-08-2011,0.00
16-08-2011,0.00
17-08-2011,0.00
18-08-2011,0.00
19-08-2011,0.00
20-08-2011,0.00
21-08-2011,0.00
22-08-2011,0.00
23-08-2011,0.00
24-08-2011,0.00
25-08-2011,0.00
26-08-2011,0.00
27-08-2011,0.00
28-08-2011,0.00
29-08-2011,0.00
30-08-2011,0.00
31-08-2011,0.00
01-09-2011,0.00
02-09-2011,0.00
03-09-2011,0.00
04-09-2011,0.00
05-09-2011,0.00
06-09-2011,0.00
07-09-2011,0.00
08-09-2011,0.00
09-09-2011,0.00
10-09-2011,0.00
11-09-2011,0.00
12-09-2011,0.00
13-09-2011,0.00
14-09-2011,0.00
15-09-2011,2.20
16-09-2011,50.40
17-09-2011,0.00
18-09-2011,0.00
19-09-2011,0.00
20-09-2011,0.00
21-09-2011,0.00
22-09-2011,0.00
23-09-2011,0.00
24-09-2011,0.00
25-09-2011,0.00
26-09-2011,0.00
27-09-2011,0.00
28-09-2011,0.00
