datetime,curah_hujan
01-01-2011,0
02-01-2011,"6,7"
03-01-2011,"2,5"
04-01-2011,"1,2"
05-01-2011,37
06-01-2011,"3,4"
07-01-2011,1
08-01-2011,"7,9"
09-01-2011,15
10-01-2011,"7,4"
11-01-2011,4
12-01-2011,"0,6"
13-01-2011,0
14-01-2011,8888
15-01-2011,"7,6"
16-01-2011,"3,1"
17-01-2011,"3,8"
18-01-2011,"6,9"
19-01-2011,"0,2"
20-01-2011,"1,5"
21-01-2011,"16,8"
22-01-2011,"13,6"
23-01-2011,8888
24-01-2011,0
25-01-2011,0
26-01-2011,0
27-01-2011,8888
28-01-2011,"3,1"
29-01-2011,"2,3"
30-01-2011,0
31-01-2011,8888
01-02-2011,"1,2"
02-02-2011,"3,8"
03-02-2011,3
04-02-2011,"11,6"
05-02-2011,"12,8"
06-02-2011,"4,8"
07-02-2011,0
08-02-2011,"4,2"
09-02-2011,0
10-02-2011,0
11-02-2011,"2,4"
12-02-2011,0
13-02-2011,"3,5"
14-02-2011,"119,2"
15-02-2011,0
16-02-2011,"9,7"
17-02-2011,0
18-02-2011,1
19-02-2011,4
20-02-2011,2
21-02-2011,0
22-02-2011,0
23-02-2011,0
24-02-2011,0
25-02-2011,"2,7"
26-02-2011,"10,9"
27-02-2011,"30,4"
28-02-2011,"3,5"
01-03-2011,"0,7"
02-03-2011,0
03-03-2011,"4,6"
04-03-2011,"0,5"
05-03-2011,"6,6"
06-03-2011,"0,2"
07-03-2011,0
08-03-2011,0
09-03-2011,"1,6"
10-03-2011,0
11-03-2011,"1,7"
12-03-2011,0
13-03-2011,49
14-03-2011,8888
15-03-2011,"33,7"
16-03-2011,"22,5"
17-03-2011,0
18-03-2011,"3,2"
19-03-2011,"9,7"
20-03-2011,"6,6"
21-03-2011,0
22-03-2011,0
23-03-2011,0
24-03-2011,"4,4"
25-03-2011,0
26-03-2011,0
27-03-2011,0
28-03-2011,0
29-03-2011,"0,8"
30-03-2011,"1,8"
31-03-2011,"0,1"
01-04-2011,"0,6"
02-04-2011,0
03-04-2011,8
04-04-2011,0
05-04-2011,0
06-04-2011,0
07-04-2011,0
08-04-2011,"0,1"
09-04-2011,0
10-04-2011,0
11-04-2011,"3,4"
12-04-2011,"0,1"
13-04-2011,8888
14-04-2011,"0,7"
15-04-2011,"2,4"
16-04-2011,"12,4"
17-04-2011,"32,5"
18-04-2011,"30,8"
19-04-2011,0
20-04-2011,"1,2"
21-04-2011,0
22-04-2011,4
23-04-2011,0
24-04-2011,8888
25-04-2011,0
26-04-2011,0
27-04-2011,8888
28-04-2011,0
29-04-2011,0
30-04-2011,"10,6"
01-05-2011,0
02-05-2011,0
03-05-2011,0
04-05-2011,0
05-05-2011,"18,2"
06-05-2011,19
07-05-2011,"4,8"
08-05-2011,"0,4"
09-05-2011,0
10-05-2011,0
11-05-2011,0
12-05-2011,8888
13-05-2011,"62,8"
14-05-2011,"0,2"
15-05-2011,0
16-05-2011,0
17-05-2011,0
18-05-2011,"13,2"
19-05-2011,0
20-05-2011,0
21-05-2011,0
22-05-2011,"43,2"
23-05-2011,"5,8"
24-05-2011,"18,5"
25-05-2011,"12,8"
26-05-2011,0
27-05-2011,0
28-05-2011,0
29-05-2011,0
30-05-2011,0
31-05-2011,0
01-06-2011,0
02-06-2011,8888
03-06-2011,0
04-06-2011,"0,2"
05-06-2011,"30,6"
06-06-2011,0
07-06-2011,10
08-06-2011,"2,2"
09-06-2011,0
10-06-2011,0
11-06-2011,0
12-06-2011,0
13-06-2011,0
14-06-2011,"2,6"
15-06-2011,0
16-06-2011,0
17-06-2011,0
18-06-2011,0
19-06-2011,0
20-06-2011,0
21-06-2011,0
22-06-2011,0
23-06-2011,0
24-06-2011,0
25-06-2011,0
26-06-2011,0
27-06-2011,13
28-06-2011,"0,2"
29-06-2011,8888
30-06-2011,"11,7"
01-07-2011,0
02-07-2011,0
03-07-2011,0
04-07-2011,0
05-07-2011,"2,5"
06-07-2011,0
07-07-2011,0
08-07-2011,0
09-07-2011,0
10-07-2011,"7,4"
11-07-2011,0
12-07-2011,8888
13-07-2011,0
14-07-2011,0
15-07-2011,0
16-07-2011,5
17-07-2011,0
18-07-2011,0
19-07-2011,0
20-07-2011,0
21-07-2011,0
22-07-2011,0
23-07-2011,"0,7"
24-07-2011,"2,5"
25-07-2011,0
26-07-2011,0
27-07-2011,8888
28-07-2011,0
29-07-2011,0
30-07-2011,0
31-07-2011,0
01-08-2011,0
02-08-2011,0
03-08-2011,0
04-08-2011,"1,5"
05-08-2011,0
06-08-2011,0
07-08-2011,0
08-08-2011,0
09-08-2011,0
10-08-2011,0
11-08-2011,0
12-08-2011,0
13-08-2011,0
14-08-2011,0
15-08-2011,0
16-08-2011,8888
17-08-2011,0
18-08-2011,0
19-08-2011,0
20-08-2011,0
21-08-2011,0
22-08-2011,0
23-08-2011,0
24-08-2011,0
25-08-2011,0
26-08-2011,0
27-08-2011,0
28-08-2011,0
29-08-2011,0
30-08-2011,0
31-08-2011,0
01-09-2011,0
02-09-2011,0
03-09-2011,0
04-09-2011,0
05-09-2011,0
06-09-2011,0
07-09-2011,0
08-09-2011,0
09-09-2011,0
10-09-2011,0
11-09-2011,0
12-09-2011,0
13-09-2011,0
14-09-2011,0
15-09-2011,"2,2"
16-09-2011,"50,4"
17-09-2011,0
18-09-2011,0
19-09-2011,0
20-09-2011,0
21-09-2011,0
22-09-2011,0
23-09-2011,0
24-09-2011,0
25-09-2011,0
26-09-2011,0
27-09-2011,0
28-09-2011,0
29-09-2011,0
30-09-2011,0
01-10-2011,0
02-10-2011,3
03-10-2011,"6,7"
04-10-2011,"0,6"
05-10-2011,8888
06-10-2011,0
07-10-2011,"0,6"
08-10-2011,0
09-10-2011,"15,6"
10-10-2011,0
11-10-2011,8888
12-10-2011,0
13-10-2011,0
14-10-2011,0
15-10-2011,0
16-10-2011,0
17-10-2011,0
18-10-2011,0
19-10-2011,0
20-10-2011,0
21-10-2011,0
22-10-2011,0
23-10-2011,0
24-10-2011,0
25-10-2011,8888
26-10-2011,"0,3"
27-10-2011,0
28-10-2011,"21,4"
29-10-2011,0
30-10-2011,"10,5"
31-10-2011,"21,4"
01-11-2011,0
02-11-2011,"0,8"
03-11-2011,"0,3"
04-11-2011,0
05-11-2011,0
06-11-2011,0
07-11-2011,0
08-11-2011,"3,4"
09-11-2011,"0,2"
10-11-2011,0
11-11-2011,0
12-11-2011,0
13-11-2011,"4,9"
14-11-2011,8888
15-11-2011,"0,2"
16-11-2011,0
17-11-2011,"0,2"
18-11-2011,0
19-11-2011,"1,2"
20-11-2011,2
21-11-2011,0
22-11-2011,0
23-11-2011,"12,3"
24-11-2011,0
25-11-2011,"1,6"
26-11-2011,0
27-11-2011,0
28-11-2011,"3,5"
29-11-2011,14
30-11-2011,0
01-12-2011,"11,2"
02-12-2011,"24,6"
03-12-2011,0
04-12-2011,"4,4"
05-12-2011,0
06-12-2011,0
07-12-2011,0
08-12-2011,0
09-12-2011,0
10-12-2011,"10,2"
11-12-2011,0
12-12-2011,"12,3"
13-12-2011,8888
14-12-2011,0
15-12-2011,"0,2"
16-12-2011,0
17-12-2011,"3,5"
18-12-2011,0
19-12-2011,8888
20-12-2011,8888
21-12-2011,"2,4"
22-12-2011,"2,3"
23-12-2011,0
24-12-2011,0
25-12-2011,0
26-12-2011,"9,7"
27-12-2011,"67,2"
28-12-2011,0
29-12-2011,19
30-12-2011,8
31-12-2011,2
